ID,Client_Income,Car_Owned,Bike_Owned,Active_Loan,House_Own,Child_Count,Credit_Amount,Loan_Annuity,Accompany_Client,Client_Income_Type,Client_Education,Client_Marital_Status,Client_Gender,Loan_Contract_Type,Client_Housing_Type,Population_Region_Relative,Age_Days,Employed_Days,Registration_Days,ID_Days,Own_House_Age,Mobile_Tag,Homephone_Tag,Workphone_Working,Client_Occupation,Client_Family_Members,Cleint_City_Rating,Application_Process_Day,Application_Process_Hour,Client_Permanent_Match_Tag,Client_Contact_Work_Tag,Type_Organization,Score_Source_1,Score_Source_2,Score_Source_3,Social_Circle_Default,Phone_Change,Credit_Bureau,Default
12142509,6750,0.0,0.0,1.0,0.0,0.0,61190.55,3416.85,Alone,Commercial,Secondary,M,Male,CL,Home,0.028663,13957,1062,6123,383,,1,1,0,Sales,2.0,2.0,6.0,17.0,Yes,Yes,Self-employed,0.56806615,0.47878667,,0.0186,63.0,,0
12138936,20250,1.0,0.0,1.0,,0.0,15282,1826.55,Alone,Service,Graduation,M,Male,CL,Home,0.008575,14162,4129,7833,21,0.0,1,0,1,,2.0,2.0,3.0,10.0,Yes,Yes,Government,0.563360099,0.215068341,,,,,0
12181264,18000,0.0,0.0,1.0,0.0,1.0,59527.35,2788.2,Alone,Service,Graduation dropout,W,Male,CL,Family,0.0228,16790,5102,,331,,1,0,0,Realty agents,2.0,2.0,4.0,,Yes,Yes,Self-employed,,0.552794972,0.329655054,0.0742,277.0,0.0,0
12188929,15750,0.0,0.0,1.0,1.0,0.0,53870.4,2295.45,Alone,Retired,Secondary,M,Male,CL,Home,0.010556,23195,365243,,775,,1,0,0,,2.0,3.0,2.0,15.0,Yes,Yes,XNA,,0.135182337,0.631354537,,1700.0,3.0,0
12133385,33750,1.0,0.0,1.0,0.0,2.0,133988.4,3547.35,Alone,Commercial,Secondary,M,Female,CL,Home,0.020713,11366,2977,5516,4043,6.0,1,0,0,Laborers,4.0,1.0,3.0,,Yes,Yes,Business Entity Type 3,0.508198522,0.301181977,0.355638717,0.2021,674.0,1.0,0
12191614,11250,0.0,1.0,1.0,1.0,1.0,13752,653.85,Alone,Service,Secondary,W,Female,CL,Home,0.019101,13881,1184,3910,3910,,1,0,0,Laborers,2.0,2.0,2.0,10.0,Yes,Yes,Other,,0.697927562,0.420610964,0.0639,739.0,0.0,0
12128086,15750,1.0,1.0,0.0,1.0,0.0,128835,3779.55,Alone,Retired,Secondary,S,Male,CL,Home,0.016612,21323,365243,113,4855,10.0,1,0,0,,1.0,2.0,3.0,14.0,Yes,Yes,XNA,0.729913215,0.602545334,0.511891802,0.2041,0.0,3.0,0
12215264,13500,0.0,0.0,1.0,1.0,0.0,60415.2,3097.8,Alone,Retired,Secondary,M,Male,CL,Home,0.009175,22493,365243,12617,5280,,1,0,1,,2.0,2.0,4.0,15.0,Yes,Yes,XNA,0.711468199,0.657507898,0.549596502,,1687.0,4.0,0
12159147,13500,1.0,1.0,0.0,1.0,1.0,45000,1200.15,Relative,Commercial,Graduation,M,Female,CL,Home,0.006008,,7889,5455,2665,14.0,1,0,1,Sales,3.0,2.0,4.0,13.0,Yes,Yes,Self-employed,0.475726518,0.637593554,0.553164699,0.167,1611.0,0.0,0
12130547,12150,0.0,0.0,0.0,1.0,0.0,16320.15,1294.65,Alone,Retired,Secondary,W,Male,CL,Home,0.016612,20507,365243,2834,4053,,1,0,0,,1.0,2.0,,9.0,Yes,Yes,XNA,0.682285092,0.063343128,0.080649544,,533.0,5.0,0
